コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
6090,ヒューマン・メタボローム・テク,東S,600,-23.0(-3.69%),"3,552",36,0.04,07_100億未満
6091,ウエスコＨＬＤＧ,東S,808,-11.0(-1.34%),"11,092",111,0.11,06_100億以上~500億未満
6092,エンバイオＨＬＤＧ,東S,738,+1.0(+0.14%),"6,033",60,0.06,07_100億未満
6093,ミトラグループ,東S,153,-1.0(-0.65%),"7,030",70,0.07,07_100億未満
6094,フリークアウトＨＬＤＧ,東G,585,-30.0(-4.88%),"10,543",105,0.11,06_100億以上~500億未満
6096,レアジョブ,東S,361,-3.0(-0.82%),"3,554",36,0.04,07_100億未満
6098,リクルートＨＬＤＧ,東P,10615,-305.0(-2.79%),"15,630,630","156,306",156.31,01_10兆以上
6099,エラン,東P,676,+0.0(+0.00%),"40,966",410,0.41,06_100億以上~500億未満
6101,ツガミ,東P,6320,-180.0(-2.77%),"303,360","3,034",3.03,04_1000億以上~5000億未満
6103,オークマ,東P,4075,+65.0(+1.62%),"275,105","2,751",2.75,04_1000億以上~5000億未満
6104,芝浦機械,東P,4070,-60.0(-1.45%),"101,019","1,010",1.01,04_1000億以上~5000億未満
6113,アマダ,東P,2949.5,-27.5(-0.92%),"936,323","9,363",9.36,03_5000億以上~1兆未満
6118,アイダエンジニアリング,東P,1087,-13.0(-1.18%),"64,853",649,0.65,05_500億以上~1000億未満
6125,岡本工作機械製作所,東S,5180,-120.0(-2.26%),"34,726",347,0.35,06_100億以上~500億未満
6134,ＦＵＪＩ,東P,7788,-47.0(-0.60%),"761,851","7,619",7.62,03_5000億以上~1兆未満
6135,牧野フライス製作所,東P,14050,+60.0(+0.43%),"349,758","3,498",3.50,04_1000億以上~5000億未満
6136,オーエスジー,東P,3366,-117.0(-3.36%),"323,625","3,236",3.24,04_1000億以上~5000億未満
6137,小池酸素工業,東S,1503,-2.0(-0.13%),"33,990",340,0.34,06_100億以上~500億未満
6138,ダイジェット工業,東S,1103,-47.0(-4.09%),"3,301",33,0.03,07_100億未満
6140,旭ダイヤモンド工業,東P,1315,-3.0(-0.23%),"63,685",637,0.64,05_500億以上~1000億未満
6141,ＤＭＧ森精機,東P,3334,-103.0(-3.00%),"474,515","4,745",4.75,04_1000億以上~5000億未満
6143,ソディック,東P,1953,+28.0(+1.45%),"107,009","1,070",1.07,04_1000億以上~5000億未満
6144,西部電機,東S,2650,-4.0(-0.15%),"40,174",402,0.40,06_100億以上~500億未満
6145,ＮＩＴＴＯＫＵ,東S,3255,-70.0(-2.11%),"58,912",589,0.59,05_500億以上~1000億未満
6146,ディスコ,東P,72210,"+3,500.0(+5.09%)","7,833,196","78,332",78.33,02_1兆以上~10兆未満
6147,ヤマザキ,東S,168,-1.0(-0.59%),769,8,0.01,07_100億未満
6149,小田原エンジニアリング,東S,2099,+12.0(+0.57%),"13,418",134,0.13,06_100億以上~500億未満
6150,タケダ機械,東S,2707,-8.0(-0.29%),"2,761",28,0.03,07_100億未満
6151,日東工器,東P,1677,+54.0(+3.33%),"32,122",321,0.32,06_100億以上~500億未満
6155,高松機械工業,東S,480,+1.0(+0.21%),"5,290",53,0.05,07_100億未満
6156,エーワン精密,東S,1953,-31.0(-1.56%),"10,351",104,0.10,06_100億以上~500億未満
6157,日進工具,東S,869,-4.0(-0.46%),"21,755",218,0.22,06_100億以上~500億未満
6158,和井田製作所,東S,968,+2.0(+0.21%),"6,803",68,0.07,07_100億未満
6159,ミクロン精密,東S,1960,+0.0(+0.00%),"15,104",151,0.15,06_100億以上~500億未満
6161,エスティック,東S,1025,-7.0(-0.68%),"12,062",121,0.12,06_100億以上~500億未満
6165,パンチ工業,東S,559,-6.0(-1.06%),"15,441",154,0.15,06_100億以上~500億未満
6166,中村超硬,東G,445,-22.0(-4.71%),"4,904",49,0.05,07_100億未満
6167,冨士ダイス,東P,976,-13.0(-1.31%),"19,520",195,0.20,06_100億以上~500億未満
6171,土木管理総合試験所,東S,386,+0.0(+0.00%),"5,496",55,0.05,07_100億未満
6176,ブランジスタ,東S,886,-13.0(-1.45%),"12,914",129,0.13,06_100億以上~500億未満
6177,ＡｐｐＢａｎｋ,東G,79,-5.0(-5.95%),"1,994",20,0.02,07_100億未満
6178,日本郵政,東P,2145.5,+20.5(+0.96%),"6,024,982","60,250",60.25,02_1兆以上~10兆未満
6180,ＧＭＯメディア,東G,3595,+0.0(+0.00%),"6,718",67,0.07,07_100億未満
6181,タメニー,東G,74,+0.0(+0.00%),"3,328",33,0.03,07_100億未満
6182,メタリアル,東G,534,+3.0(+0.56%),"5,814",58,0.06,07_100億未満
6183,ベルシステム２４ＨＬＤＧ,東P,1383,-22.0(-1.57%),"103,065","1,031",1.03,04_1000億以上~5000億未満
6184,鎌倉新書,東P,445,-6.0(-1.33%),"18,332",183,0.18,06_100億以上~500億未満
6185,ＳＭＮ,東S,361,-7.0(-1.90%),"5,335",53,0.05,07_100億未満
6186,一蔵,東S,372,-4.0(-1.06%),"2,058",21,0.02,07_100億未満
6189,グローバルキッズＣＯＭＰＡＮＹ,東S,924,+1.0(+0.11%),"8,822",88,0.09,07_100億未満
6190,フェニックスバイオ,東G,387,-4.0(-1.02%),"1,578",16,0.02,07_100億未満
6191,エアトリ,東P,778,-24.0(-2.99%),"17,717",177,0.18,06_100億以上~500億未満
6193,バーチャレクスＨＬＤＧ,東G,992,-4.0(-0.40%),"2,985",30,0.03,07_100億未満
6194,アトラエ,東P,670,-10.0(-1.47%),"14,951",150,0.15,06_100億以上~500億未満
6195,ホープ,東G,213,-4.0(-1.84%),"3,507",35,0.04,07_100億未満
6196,ストライクグループ,東P,1218,+8.0(+0.66%),"70,168",702,0.70,05_500億以上~1000億未満
6197,ソラスト,東P,1111,+0.0(+0.00%),"105,258","1,053",1.05,04_1000億以上~5000億未満
6198,キャリア,東G,230,+0.0(+0.00%),"1,984",20,0.02,07_100億未満
6199,セラク,東S,1165,+5.0(+0.43%),"15,972",160,0.16,06_100億以上~500億未満
6200,インソース,東P,586,-4.0(-0.68%),"49,952",500,0.50,06_100億以上~500億未満
6203,豊和工業,東S,1750,-80.0(-4.37%),"21,959",220,0.22,06_100億以上~500億未満
6208,石川製作所,東S,1753,-47.0(-2.61%),"11,195",112,0.11,06_100億以上~500億未満
6209,リケンＮＰＲ,東P,3875,-20.0(-0.51%),"109,461","1,095",1.09,04_1000億以上~5000億未満
6217,津田駒工業,東S,1043,-103.0(-8.99%),"7,100",71,0.07,07_100億未満
6218,エンシュウ,東S,605,+0.0(+0.00%),"3,844",38,0.04,07_100億未満
6222,島精機製作所,東P,889,-18.0(-1.98%),"30,937",309,0.31,06_100億以上~500億未満
6223,西部技研,東S,2377,+73.0(+3.17%),"48,728",487,0.49,06_100億以上~500億未満
6224,ＪＲＣ,東G,1310,+2.0(+0.15%),"17,192",172,0.17,06_100億以上~500億未満
6226,守谷輸送機工業,東S,2067,+10.0(+0.49%),"73,113",731,0.73,05_500億以上~1000億未満
6227,ＡＩメカテック,東S,6490,+420.0(+6.92%),"122,330","1,223",1.22,04_1000億以上~5000億未満
6228,ジェイ・イー・ティ,東S,770,+32.0(+4.34%),"10,372",104,0.10,06_100億以上~500億未満
6229,オーケーエム,東S,1498,-9.0(-0.60%),"6,831",68,0.07,07_100億未満
6230,ＳＡＮＥＩ,東S,2143,-54.0(-2.46%),"9,811",98,0.10,07_100億未満
6231,木村工機,東S,10880,+140.0(+1.30%),"41,877",419,0.42,06_100億以上~500億未満
6232,ＡＣＳＬ,東G,1970,-48.0(-2.38%),"37,977",380,0.38,06_100億以上~500億未満
6233,ＫＬＡＳＳ,東S,400,+1.0(+0.25%),"2,156",22,0.02,07_100億未満
6235,オプトラン,東P,3920,-240.0(-5.77%),"173,883","1,739",1.74,04_1000億以上~5000億未満
6237,イワキポンプ,東P,3190,-230.0(-6.73%),"71,746",717,0.72,05_500億以上~1000億未満
6238,フリュー,東P,1253,-74.0(-5.58%),"35,455",355,0.35,06_100億以上~500億未満
6239,ナガオカ,東S,1291,-15.0(-1.15%),"9,138",91,0.09,07_100億未満
6240,ヤマシンフィルタ,東P,527,+1.0(+0.19%),"36,858",369,0.37,06_100億以上~500億未満
6245,ヒラノテクシード,東S,2356,-52.0(-2.16%),"36,269",363,0.36,06_100億以上~500億未満
6246,テクノスマート,東S,1810,-9.0(-0.49%),"22,447",224,0.22,06_100億以上~500億未満
6247,日阪製作所,東P,1635,+185.0(+12.76%),"46,978",470,0.47,06_100億以上~500億未満
6248,横田製作所,東S,1717,+24.0(+1.42%),"3,217",32,0.03,07_100億未満
6249,ゲームカードＨＬＤＧ,東S,2285,-22.0(-0.95%),"33,547",335,0.34,06_100億以上~500億未満
6250,やまびこ,東P,3585,-30.0(-0.83%),"158,129","1,581",1.58,04_1000億以上~5000億未満
6254,野村マイクロ・サイエンス,東P,4455,+70.0(+1.60%),"180,909","1,809",1.81,04_1000億以上~5000億未満
6255,エヌ・ピー・シー,東G,800,-9.0(-1.11%),"17,642",176,0.18,06_100億以上~500億未満
6257,藤商事,東S,988,+0.0(+0.00%),"22,621",226,0.23,06_100億以上~500億未満
6258,平田機工,東P,2823,-11.0(-0.39%),"91,093",911,0.91,05_500億以上~1000億未満
6262,ＰＥＧＡＳＵＳ,東S,532,+0.0(+0.00%),"13,209",132,0.13,06_100億以上~500億未満
6264,マルマエ,東P,2116,+38.0(+1.83%),"59,472",595,0.59,05_500億以上~1000億未満
6265,コンバム,東S,3435,+35.0(+1.03%),"5,692",57,0.06,07_100億未満
6266,タツモ,東P,3965,+40.0(+1.02%),"58,850",589,0.59,05_500億以上~1000億未満
6267,ゼネラルパッカー,東S,3610,+40.0(+1.12%),"6,494",65,0.06,07_100億未満
6268,ナブテスコ,東P,5246,-256.0(-4.65%),"619,367","6,194",6.19,03_5000億以上~1兆未満
6269,三井海洋開発,東P,9843,-397.0(-3.88%),"672,723","6,727",6.73,03_5000億以上~1兆未満
6272,レオン自動機,東P,1442,-14.0(-0.96%),"40,941",409,0.41,06_100億以上~500億未満
6273,ＳＭＣ,東P,65070,"+1,070.0(+1.67%)","4,155,979","41,560",41.56,02_1兆以上~10兆未満
6276,シリウスビジョン,東S,281,-10.0(-3.44%),"1,608",16,0.02,07_100億未満
6277,ホソカワミクロン,東P,5230,-120.0(-2.24%),"82,271",823,0.82,05_500億以上~1000億未満
6278,ユニオンツール,東P,22700,-660.0(-2.83%),"449,006","4,490",4.49,04_1000億以上~5000億未満
6279,瑞光,東P,884,+9.0(+1.03%),"25,459",255,0.25,06_100億以上~500億未満
6282,オイレス工業,東P,2639,+19.0(+0.73%),"87,880",879,0.88,05_500億以上~1000億未満
6284,日精エー・エス・ビー機械,東P,8950,-50.0(-0.56%),"134,170","1,342",1.34,04_1000億以上~5000億未満
6286,靜甲,東S,1450,+0.0(+0.00%),"9,401",94,0.09,07_100億未満
6287,サトー,東P,2309,+16.0(+0.70%),"77,665",777,0.78,05_500億以上~1000億未満
6289,技研製作所,東P,1742,-22.0(-1.25%),"47,164",472,0.47,06_100億以上~500億未満
6291,日本エアーテック,東S,1228,-15.0(-1.21%),"12,941",129,0.13,06_100億以上~500億未満
6292,カワタ,東S,810,-19.0(-2.29%),"5,840",58,0.06,07_100億未満
6294,オカダアイヨン,東P,1931,-13.0(-0.67%),"16,179",162,0.16,06_100億以上~500億未満
6298,ワイエイシイＨＬＤＧ,東P,1465,-1.0(-0.07%),"28,594",286,0.29,06_100億以上~500億未満
6301,小松製作所,東P,6955,-157.0(-2.21%),"6,470,519","64,705",64.71,02_1兆以上~10兆未満
6302,住友重機械工業,東P,5149,-101.0(-1.92%),"632,840","6,328",6.33,03_5000億以上~1兆未満
6305,日立建機,東P,5339,-46.0(-0.85%),"1,148,499","11,485",11.48,02_1兆以上~10兆未満
6306,日工,東P,859,+1.0(+0.12%),"34,360",344,0.34,06_100億以上~500億未満
6307,サンセイ,東S,458,+5.0(+1.10%),"4,116",41,0.04,07_100億未満
6309,巴工業,東P,1667,-1.0(-0.06%),"49,926",499,0.50,06_100億以上~500億未満
6310,井関農機,東P,1731,-10.0(-0.57%),"39,787",398,0.40,06_100億以上~500億未満
6315,ＴＯＷＡ,東P,3210,+210.0(+7.00%),"241,255","2,413",2.41,04_1000億以上~5000億未満
6316,丸山製作所,東S,2475,+3.0(+0.12%),"12,448",124,0.12,06_100億以上~500億未満
6317,北川鉄工所,東S,1656,-3.0(-0.18%),"15,982",160,0.16,06_100億以上~500億未満
6322,タクミナ,東S,1564,-16.0(-1.01%),"12,087",121,0.12,06_100億以上~500億未満
6323,ローツェ,東P,4424,+208.0(+4.93%),"780,394","7,804",7.80,03_5000億以上~1兆未満
6324,ハーモニック・ドライブ・システ,東P,6910,-500.0(-6.75%),"665,539","6,655",6.66,03_5000億以上~1兆未満
6325,タカキタ,東S,397,-2.0(-0.50%),"5,558",56,0.06,07_100億未満
6326,クボタ,東P,2910,-55.0(-1.85%),"3,313,666","33,137",33.14,02_1兆以上~10兆未満
6327,北川精機,東S,3840,-680.0(-15.04%),"32,446",324,0.32,06_100億以上~500億未満
6328,荏原実業,東P,2269,+10.0(+0.44%),"58,676",587,0.59,05_500億以上~1000億未満
6330,東洋エンジニアリング,東P,1975,-45.0(-2.23%),"116,187","1,162",1.16,04_1000億以上~5000億未満
6331,三菱化工機,東P,3460,-180.0(-4.95%),"82,147",821,0.82,05_500億以上~1000億未満
6332,月島ＨＬＤＧ,東P,2474,-12.0(-0.48%),"99,271",993,0.99,05_500億以上~1000億未満
6333,ＴＥＩＫＯＫＵ,東P,2886,+0.0(+0.00%),"45,541",455,0.46,06_100億以上~500億未満
6334,明治機械,東S,450,+0.0(+0.00%),"5,131",51,0.05,07_100億未満
6335,東京機械製作所,東S,600,+5.0(+0.84%),"5,237",52,0.05,07_100億未満
6336,石井表記,東S,1217,-46.0(-3.64%),"9,951",100,0.10,07_100億未満
6337,テセック,東S,2737,+100.0(+3.79%),"15,269",153,0.15,06_100億以上~500億未満
6338,タカトリ,東S,1792,-8.0(-0.44%),"9,841",98,0.10,07_100億未満
6339,新東工業,東P,1188,-12.0(-1.00%),"64,842",648,0.65,05_500億以上~1000億未満
6340,澁谷工業,東P,4225,+80.0(+1.93%),"118,933","1,189",1.19,04_1000億以上~5000億未満
6342,太平製作所,東S,2797,-2.0(-0.07%),"4,196",42,0.04,07_100億未満
6343,フリージア・マクロス,東S,133,-3.0(-2.21%),"5,998",60,0.06,07_100億未満
6345,アイチ,東P,1341,-11.0(-0.81%),"86,588",866,0.87,05_500億以上~1000億未満
6346,キクカワエンタープライズ,東S,5660,+0.0(+0.00%),"7,471",75,0.07,07_100億未満
6347,プラコー,東S,248,+3.0(+1.22%),"2,551",26,0.03,07_100億未満
6349,小森コーポレーション,東P,1472,+7.0(+0.48%),"78,721",787,0.79,05_500億以上~1000億未満
6351,鶴見製作所,東P,2100,+0.0(+0.00%),"106,737","1,067",1.07,04_1000億以上~5000億未満
6356,日本ギア工業,東S,1455,-33.0(-2.22%),"20,777",208,0.21,06_100億以上~500億未満
6357,三精テクノロジーズ,東S,2542,-20.0(-0.78%),"49,142",491,0.49,06_100億以上~500億未満
6358,酒井重工業,東P,2041,-43.0(-2.06%),"18,145",181,0.18,06_100億以上~500億未満
6360,東京自働機械製作所,東S,4300,+65.0(+1.53%),"6,244",62,0.06,07_100億未満
6361,荏原製作所,東P,5480,-146.0(-2.60%),"2,505,800","25,058",25.06,02_1兆以上~10兆未満
6363,酉島製作所,東P,2558,-29.0(-1.12%),"73,012",730,0.73,05_500億以上~1000億未満
6364,ＡＩＲＭＡＮ,東P,1619,-25.0(-1.52%),"48,838",488,0.49,06_100億以上~500億未満
6365,電業社機械製作所,東S,5320,+0.0(+0.00%),"25,413",254,0.25,06_100億以上~500億未満
6366,千代田化工建設,東S,717,+11.0(+1.56%),"186,653","1,867",1.87,04_1000億以上~5000億未満
6367,ダイキン工業,東P,23745,-50.0(-0.21%),"6,959,992","69,600",69.60,02_1兆以上~10兆未満
6368,オルガノ,東P,15595,-45.0(-0.29%),"722,980","7,230",7.23,03_5000億以上~1兆未満
6369,トーヨーカネツ,東P,2201,-30.0(-1.34%),"35,318",353,0.35,06_100億以上~500億未満
6370,栗田工業,東P,8839,-17.0(-0.19%),"1,027,098","10,271",10.27,02_1兆以上~10兆未満
6371,椿本チエイン,東P,2615,-31.0(-1.17%),"277,748","2,777",2.78,04_1000億以上~5000億未満
6376,日機装,東P,3195,+55.0(+1.75%),"221,016","2,210",2.21,04_1000億以上~5000億未満
6378,木村化工機,東S,1118,-25.0(-2.19%),"23,031",230,0.23,06_100億以上~500億未満
6379,レイズネクスト,東P,2129,-42.0(-1.93%),"115,324","1,153",1.15,04_1000億以上~5000億未満
6380,オリエンタルチエン工業,東S,5160,+140.0(+2.79%),"9,576",96,0.10,07_100億未満
6381,アネスト岩田,東P,1612,+6.0(+0.37%),"67,294",673,0.67,05_500億以上~1000億未満
6382,トリニティ工業,東S,1253,-5.0(-0.40%),"22,830",228,0.23,06_100億以上~500億未満
6383,ダイフク,東P,6836,-240.0(-3.39%),"2,596,519","25,965",25.97,02_1兆以上~10兆未満
6384,昭和真空,東S,1703,-19.0(-1.10%),"11,068",111,0.11,06_100億以上~500億未満
6387,サムコ,東P,12880,+500.0(+4.04%),"103,592","1,036",1.04,04_1000億以上~5000億未満
6390,加藤製作所,東P,1200,-15.0(-1.23%),"14,092",141,0.14,06_100億以上~500億未満
6391,加地テック,東S,4220,-150.0(-3.43%),"7,250",73,0.07,07_100億未満
6392,ヤマダコーポレーション,東S,7600,-200.0(-2.56%),"18,240",182,0.18,06_100億以上~500億未満
6393,油研工業,東S,2830,-2.0(-0.07%),"12,765",128,0.13,06_100億以上~500億未満
6395,タダノ,東P,1274,-10.0(-0.78%),"164,984","1,650",1.65,04_1000億以上~5000億未満
6396,宇野澤組鐵工所,東S,3865,+0.0(+0.00%),"4,329",43,0.04,07_100億未満
6400,不二精機,東S,262,-1.0(-0.38%),"2,372",24,0.02,07_100億未満
6402,兼松エンジニアリング,東S,1317,-15.0(-1.13%),"7,328",73,0.07,07_100億未満
6403,水道機工,東S,4015,+0.0(+0.00%),"17,248",172,0.17,06_100億以上~500億未満
6405,鈴茂器工,東S,1029,+4.0(+0.39%),"13,336",133,0.13,06_100億以上~500億未満
6407,ＣＫＤ,東P,6300,-180.0(-2.78%),"427,830","4,278",4.28,04_1000億以上~5000億未満
6408,小倉クラッチ,東S,4200,+0.0(+0.00%),"6,524",65,0.07,07_100億未満
6412,平和,東P,2056,+18.0(+0.88%),"205,207","2,052",2.05,04_1000億以上~5000億未満
6413,理想科学工業,東P,985,-34.0(-3.34%),"70,920",709,0.71,05_500億以上~1000億未満
6417,ＳＡＮＫＹＯ,東P,1626.5,+2.5(+0.15%),"374,095","3,741",3.74,04_1000億以上~5000億未満
6418,日本金銭機械,東P,939,-4.0(-0.42%),"27,863",279,0.28,06_100億以上~500億未満
6419,マースグループＨＬＤＧ,東P,2924,+2.0(+0.07%),"66,433",664,0.66,05_500億以上~1000億未満
6420,ガリレイ,東P,3335,-35.0(-1.04%),"147,181","1,472",1.47,04_1000億以上~5000億未満
6424,高見沢サイバネティックス,東S,880,-6.0(-0.68%),"3,982",40,0.04,07_100億未満
6425,ユニバーサルエンターテインメン,東S,680,-12.0(-1.73%),"54,533",545,0.55,05_500億以上~1000億未満
6428,オーイズミ,東S,315,-1.0(-0.32%),"7,088",71,0.07,07_100億未満
6430,ダイコク電機,東P,2091,-4.0(-0.19%),"30,985",310,0.31,06_100億以上~500億未満
6432,竹内製作所,東P,7510,+410.0(+5.77%),"367,982","3,680",3.68,04_1000億以上~5000億未満
6433,ヒーハイスト,東S,1169,+29.0(+2.54%),"7,384",74,0.07,07_100億未満
6436,アマノ,東P,3512,-21.0(-0.59%),"249,725","2,497",2.50,04_1000億以上~5000億未満
6440,ＪＵＫＩ,東P,532,-6.0(-1.12%),"15,893",159,0.16,06_100億以上~500億未満
6444,サンデン,東S,156,+0.0(+0.00%),"17,502",175,0.18,06_100億以上~500億未満
6445,ジャノメ,東P,1166,-32.0(-2.67%),"19,798",198,0.20,06_100億以上~500億未満
6448,ブラザー工業,東P,3805,-9.0(-0.24%),"952,957","9,530",9.53,03_5000億以上~1兆未満
6454,マックス,東P,1641,+30.0(+1.86%),"305,472","3,055",3.05,04_1000億以上~5000億未満
6455,モリタＨＬＤＧ,東P,2428,-6.0(-0.25%),"110,276","1,103",1.10,04_1000億以上~5000億未満
6457,グローリー,東P,4029,-13.0(-0.32%),"237,462","2,375",2.37,04_1000億以上~5000億未満
6458,新晃工業,東P,1207,-10.0(-0.82%),"87,559",876,0.88,05_500億以上~1000億未満
6459,大和冷機工業,東P,1673,-23.0(-1.36%),"86,523",865,0.87,05_500億以上~1000億未満
6460,セガサミーＨＬＤＧ,東P,2357.5,-2.5(-0.11%),"503,433","5,034",5.03,03_5000億以上~1兆未満
6463,ＴＰＲ,東P,1393,-29.0(-2.04%),"92,694",927,0.93,05_500億以上~1000億未満
6464,ツバキ・ナカシマ,東P,397,-17.0(-4.11%),"16,515",165,0.17,06_100億以上~500億未満
6465,ホシザキ,東P,5086,+22.0(+0.43%),"736,911","7,369",7.37,03_5000億以上~1兆未満
6466,ＴＶＥ,東S,3725,-65.0(-1.72%),"9,169",92,0.09,07_100億未満
6467,ニチダイ,東S,335,+2.0(+0.60%),"3,033",30,0.03,07_100億未満
6469,放電精密加工研究所,東S,2610,+8.0(+0.31%),"28,590",286,0.29,06_100億以上~500億未満
6470,大豊工業,東S,1109,-14.0(-1.25%),"32,352",324,0.32,06_100億以上~500億未満
6471,日本精工,東P,1177,-28.0(-2.32%),"588,500","5,885",5.89,03_5000億以上~1兆未満
6472,ＮＴＮ,東P,428.5,-8.6(-1.97%),"256,043","2,560",2.56,04_1000億以上~5000億未満
6473,ジェイテクト,東P,2041.5,-62.0(-2.95%),"650,438","6,504",6.50,03_5000億以上~1兆未満
6474,不二越,東P,5820,-70.0(-1.19%),"145,031","1,450",1.45,04_1000億以上~5000億未満
6479,ミネベアミツミ,東P,4968,+88.0(+1.80%),"2,121,736","21,217",21.22,02_1兆以上~10兆未満
6480,日本トムソン,東P,1982,+7.0(+0.35%),"145,680","1,457",1.46,04_1000億以上~5000億未満
6481,ＴＨＫ,東P,7807,-122.0(-1.54%),"929,812","9,298",9.30,03_5000億以上~1兆未満
6482,ＹＵＳＨＩＮ,東S,665,+7.0(+1.06%),"23,699",237,0.24,06_100億以上~500億未満
6484,ＫＶＫ,東S,2313,-17.0(-0.73%),"19,249",192,0.19,06_100億以上~500億未満
6485,前澤給装工業,東S,1414,+12.0(+0.86%),"30,401",304,0.30,06_100億以上~500億未満
6486,イーグル工業,東P,2925,+21.0(+0.72%),"145,542","1,455",1.46,04_1000億以上~5000億未満
6488,ヨシタケ,東S,934,+3.0(+0.32%),"12,447",124,0.12,06_100億以上~500億未満
6490,ＰＩＬＬＡＲ,東P,9350,-50.0(-0.53%),"234,147","2,341",2.34,04_1000億以上~5000億未満
6492,岡野バルブ製造,東S,13950,"-1,310.0(-8.58%)","25,012",250,0.25,06_100億以上~500億未満
6493,ＮＩＴＴＡＮ,東S,477,-6.0(-1.24%),"13,823",138,0.14,06_100億以上~500億未満
6494,ＮＦＫ　ＨＬＤＧ,東S,96,-2.0(-2.04%),"4,679",47,0.05,07_100億未満
6495,宮入バルブ製作所,東S,143,-3.0(-2.05%),"6,986",70,0.07,07_100億未満
6496,中北製作所,東S,4580,-140.0(-2.97%),"17,554",176,0.18,06_100億以上~500億未満
6497,ハマイ,東S,1342,-4.0(-0.30%),"9,963",100,0.10,07_100億未満
6498,キッツ,東P,2231,-54.0(-2.36%),"195,359","1,954",1.95,04_1000億以上~5000億未満
6501,日立製作所,東P,5183,-87.0(-1.65%),"23,507,813","235,078",235.08,01_10兆以上
6503,三菱電機,東P,5952,-133.0(-2.19%),"12,577,778","125,778",125.78,01_10兆以上
6504,富士電機,東P,14935,+185.0(+1.25%),"2,229,751","22,298",22.30,02_1兆以上~10兆未満
6505,東洋電機製造,東S,1951,-56.0(-2.79%),"18,993",190,0.19,06_100億以上~500億未満
6506,安川電機,東P,6942,-210.0(-2.94%),"1,851,365","18,514",18.51,02_1兆以上~10兆未満
6507,シンフォニア　テクノロジー,東P,15010,"+1,000.0(+7.14%)","447,135","4,471",4.47,04_1000億以上~5000億未満
6508,明電舎,東P,9470,-40.0(-0.42%),"431,146","4,311",4.31,04_1000億以上~5000億未満
6513,オリジン,東S,1058,-10.0(-0.94%),"7,089",71,0.07,07_100億未満
6516,山洋電気,東P,6820,+120.0(+1.79%),"265,411","2,654",2.65,04_1000億以上~5000億未満
6517,デンヨー,東P,3610,+70.0(+1.98%),"78,913",789,0.79,05_500億以上~1000億未満
6518,三相電機,東S,2173,-54.0(-2.42%),"10,166",102,0.10,06_100億以上~500億未満
6521,オキサイド,東G,4915,-285.0(-5.48%),"57,005",570,0.57,05_500億以上~1000億未満
6522,アスタリスク,東G,786,-26.0(-3.20%),"6,325",63,0.06,07_100億未満
6523,ＰＨＣＨＬＤＧ,東P,1080,-6.0(-0.55%),"136,865","1,369",1.37,04_1000億以上~5000億未満
6524,湖北工業,東S,5900,-40.0(-0.67%),"153,400","1,534",1.53,04_1000億以上~5000億未満
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩ,東P,8467,+480.0(+6.01%),"2,016,125","20,161",20.16,02_1兆以上~10兆未満
6526,ソシオネクスト,東P,2878.5,-141.5(-4.69%),"518,058","5,181",5.18,03_5000億以上~1兆未満
6532,ベイカレント,東P,5857,-93.0(-1.56%),"910,245","9,102",9.10,03_5000億以上~1兆未満
6533,Ｏｒｃｈｅｓｔｒａ　ＨＬＤＧ,東P,981,-11.0(-1.11%),"9,844",98,0.10,07_100億未満
6535,アイモバイル,東P,470,-4.0(-0.84%),"27,329",273,0.27,06_100億以上~500億未満
6537,ＷＡＳＨハウス,東G,360,+28.0(+8.43%),"2,493",25,0.02,07_100億未満
6538,ディスラプターズ,東S,229,+0.0(+0.00%),"4,808",48,0.05,07_100億未満
6539,ＭＳ―Ｊａｐａｎ,東P,913,-8.0(-0.87%),"22,823",228,0.23,06_100億以上~500億未満
6540,船場,東S,1482,+12.0(+0.82%),"15,967",160,0.16,06_100億以上~500億未満
6543,日宣,東S,1139,-2.0(-0.18%),"4,759",48,0.05,07_100億未満
6544,ジャパンエレベーターサービスＨ,東P,1683,-17.0(-1.00%),"300,893","3,009",3.01,04_1000億以上~5000億未満
6545,インターネットインフィニティー,東G,719,+0.0(+0.00%),"3,903",39,0.04,07_100億未満
6546,フルテック,東S,1100,-1.0(-0.09%),"5,905",59,0.06,07_100億未満
6547,グリーンズ,東S,1951,-49.0(-2.45%),"27,076",271,0.27,06_100億以上~500億未満
6548,旅工房,東G,106,-2.0(-1.85%),"2,100",21,0.02,07_100億未満
6549,ディーエムソリューションズ,東S,2060,+22.0(+1.08%),"5,873",59,0.06,07_100億未満
6551,ツナググループＨＬＤＧ,東S,534,-3.0(-0.56%),"4,642",46,0.05,07_100億未満
6552,ＧａｍｅＷｉｔｈ,東S,207,+9.0(+4.55%),"3,798",38,0.04,07_100億未満
6554,エスユーエス,東G,946,-33.0(-3.37%),"8,550",86,0.09,07_100億未満
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,東S,440,-8.0(-1.79%),"2,023",20,0.02,07_100億未満
6557,ＡＩＡＩグループ,東G,610,-25.0(-3.94%),"4,081",41,0.04,07_100億未満
6558,クックビズ,東G,696,+53.0(+8.24%),"1,945",19,0.02,07_100億未満
6560,エル・ティー・エス,東P,1658,-9.0(-0.54%),"7,834",78,0.08,07_100億未満
